Date,High,Low,Open,Close,Volume,Adj_close,Symbol,today_trend,tomorrow_trend,RSI,SMA,K
2016-01-07T00:00:00.000+02:00,122.1800003,112.2900009,116.3600006,114.5599976,3.36E+07,114.5599976,NFLX,Downtrend,Downtrend,81.33119396,108.8100014,55.74911611
2016-01-08T00:00:00.000+02:00,117.7200012,111.0999985,116.3300018,111.3899994,1.81E+07,111.3899994,NFLX,Downtrend,Uptrend,64.89637312,111.7666677,37.3403011
2016-01-11T00:00:00.000+02:00,116.7900009,111.1999969,112.1299973,114.9700012,2.19E+07,114.9700012,NFLX,Uptrend,Uptrend,53.84202269,112.4650002,58.13008959
2016-01-12T00:00:00.000+02:00,117.7799988,115.0800018,116.1100006,116.5800018,1.51E+07,116.5800018,NFLX,Uptrend,Downtrend,61.28887631,112.25,67.47968596
2016-01-13T00:00:00.000+02:00,114.4800034,104.5299988,114.4300003,106.5599976,2.49E+07,106.5599976,NFLX,Downtrend,Uptrend,63.90757147,112.7033335,11.50140852
2016-01-14T00:00:00.000+02:00,109.25,101.2099991,105.6500015,107.0599976,2.37E+07,107.0599976,NFLX,Uptrend,Downtrend,44.97338623,113.2571433,27.89698681
2016-01-15T00:00:00.000+02:00,105.5,101.7200012,102.4300003,104.0400009,1.98E+07,104.0400009,NFLX,Uptrend,Uptrend,45.77505601,112.4200001,13.49547766
2016-01-19T00:00:00.000+02:00,110.1399994,105.5500031,106.5699997,107.8899994,3.57E+07,107.8899994,NFLX,Uptrend,Downtrend,42.07284581,111.8244442,31.8550306
2016-01-20T00:00:00.000+02:00,109.9899979,97.05000305,108.9100037,107.7399979,5.30E+07,107.7399979,NFLX,Downtrend,Downtrend,47.48725424,111.0459999,42.53878225
2016-01-21T00:00:00.000+02:00,108.5100021,102.0999985,108.3199997,102.3499985,3.10E+07,102.3499985,NFLX,Downtrend,Downtrend,47.31494749,110.7590908,21.09031437
2016-01-22T00:00:00.000+02:00,104.9899979,99.22000122,104.7200012,100.7200012,2.68E+07,100.7200012,NFLX,Downtrend,Downtrend,41.85747774,110.5074997,14.6040532
